Name,Language,Age,Date,Start Time,End Time,Venue,Price,Location,Link
Gala concert of the 1st International Festival-Competition of Violinists named after K. Safarlieva,Azərbaycanca,6+,19.12.2024,17:00,18:30,Chamber and organ music hall,3 ₼,"28 Мay Street 41, Baku, Azerbaijan",https://iticket.az/en/events/concerts/gala-concert-of-the-1st-international-festival-competition-of-violinists-named-after-k-safarlieva/137737
"Мусье Жордан, Ученый ботаник и дервиш Масталишах, знаменитый колдун - 19:00",Русский,6+,15.12.2024,19:00,20:45,Academic Russian Drama Theater,15 ₼,"Khagani Street 7, Baku, Azerbaijan",https://iticket.az/en/events/theatre/muse-zhordan-uchenyj-botanik-i-dervish-mastalishah-znamenityj-koldun/135139
Prosecutor,Azərbaycanca,12+,16.12.2024,19:00,20:30,Academic National Drama Theatre,8 ₼,"Füzuli Street 1, Baku, Azerbaijan",https://iticket.az/en/events/theatre/prosecutor/135130
"""İmmiqrantlar""",Azərbaycanca,16+,15.12.2024,19:00,20:30,M Teatr,10 ₼,"Tbilisi Avenue 76, ""QANUN"" Publishing House",https://iticket.az/en/events/theatre/immiqrantlar
N/A,,,,,,,3 ₼,N/A,https://iticket.az/en/events/sport/winter-fairytale-international-rhythmic-gymnastics-tournament
Leyli and Мajnun,Azərbaycanca,6+,15.12.2024,19:00,20:30,Azerbaijan State Academic Musical Theatre,7 ₼,"Zarifa Aliyeva Street 8, Baku, Azerbaijan",https://iticket.az/en/events/theatre/leyli-and-majnun-dmt/135510
“Breaking Boundaries”,Русский,18+,18.12.2024,19:30,20:20,Teatr O2,15 ₼,Yusifbəy İbrahimli küçəsi 6а,https://iticket.az/en/events/theatre/breaking-boundaries/135956
White death - 19:00 - 19:00,Azərbaycanca,18+,15.12.2024,19:00,20:30,National Theatre of Young Spectators,8 ₼,"Nizami Street 72, Baku, Azerbaijan",https://iticket.az/en/events/theatre/white-death%2B/135522
"""With love to the Maestro""",Azərbaycanca,6+,15.12.2024,19:00,20:30,Azerbaijan State Academic Philharmonic Hall,8 ₼,"Istiglaliyyat Street 10, Baku, Azerbaijan",https://iticket.az/en/events/concerts/with-love-to-the-maestro/133355
Lady Macbeth,Azərbaycanca,6+,15.12.2024,19:00,20:30,Academic National Drama Theatre,10 ₼,"Füzuli Street 1, Baku, Azerbaijan",https://iticket.az/en/events/theatre/lady-macbeth
